2022-01-20 13:23:37.990 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-01-20 13:23:38.030 [restartedMain] INFO  com.pedido.pedido.PedidoApplication - Starting PedidoApplication using Java 17.0.1 on DESKTOP-FCJ1O9R with PID 11348 (G:\Meus projetos\ELK\elastic-search-estudo\ELK stack\pedido\pedido\target\classes started by jonat in G:\Meus projetos\Glib\Glib)
2022-01-20 13:23:38.035 [restartedMain] INFO  com.pedido.pedido.PedidoApplication - No active profile set, falling back to default profiles: default
2022-01-20 13:23:38.094 [restartedMain] INFO  org.springframework.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\jonat\.m2\repository\org\glassfish\hk2\hk2\2.6.1\hk2-2.6.1.jar referenced one or more files that do not exist: file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/hk2-utils.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/jakarta.annotation-api.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/jakarta.inject.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/hk2-api.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/aopalliance-repackaged.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/hk2-core.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/hk2-locator.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/javassist.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/hk2-runlevel.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/class-model.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/asm.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/asm-analysis.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/asm-commons.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/asm-tree.jar,file:/C:/Users/jonat/.m2/repository/org/glassfish/hk2/hk2/2.6.1/asm-util.jar
2022-01-20 13:23:38.096 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-01-20 13:23:38.098 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-01-20 13:23:39.195 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-01-20 13:23:39.211 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-01-20 13:23:39.212 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-20 13:23:39.214 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-01-20 13:23:39.311 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-20 13:23:39.312 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1212 ms
2022-01-20 13:23:39.760 [restartedMain] WARN  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2022-01-20 13:23:39.777 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2022-01-20 13:23:39.818 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2022-01-20 13:23:39.829 [restartedMain] INFO  com.pedido.pedido.PedidoApplication - Started PedidoApplication in 2.342 seconds (JVM running for 3.636)
2022-01-20 13:33:48.669 [http-nio-8081-exec-2] INFO  com.pedido.pedido.rest.PedidoRestService - Pedido 1 do cliente 1 adicionou o produto: 2
2022-01-20 13:34:02.181 [http-nio-8081-exec-3] INFO  com.pedido.pedido.rest.PedidoRestService - Cliente 1 possui 1 pedidos
2022-01-20 13:50:22.040 [http-nio-8081-exec-6] INFO  com.pedido.pedido.rest.PedidoRestService - Pedido 1 cancelado
